game_pk,game_date,home_team,away_team,delta_home_win_exp
41372,2006-07-20,TOR,NYY,4.234
41394,2006-07-22,KC,LAA,4.186
41359,2006-07-19,PIT,COL,4.142
41400,2006-07-22,TB,BAL,4.11
41390,2006-07-22,CIN,MIL,4.036
41403,2006-07-23,AZ,COL,3.957
41401,2006-07-22,TOR,NYY,3.936
41368,2006-07-20,MIA,PIT,3.886
41389,2006-07-22,CWS,TEX,3.658
41363,2006-07-19,TOR,TEX,3.57
41361,2006-07-19,SF,MIL,3.524
40495,2006-07-20,BOS,TEX,3.468
41358,2006-07-19,NYY,SEA,3.374
41434,2006-07-25,KC,BAL,3.358
41423,2006-07-24,NYM,CHC,3.348
41435,2006-07-25,LAD,SD,3.346
41411,2006-07-23,NYM,HOU,3.33
41430,2006-07-25,CWS,MIN,3.308
41392,2006-07-22,DET,OAK,3.222
41432,2006-07-25,COL,STL,3.21
41353,2006-07-19,CIN,NYM,3.203
41356,2006-07-19,LAA,CLE,3.172
41388,2006-07-22,AZ,COL,3.164
41398,2006-07-22,SF,SD,3.144
41441,2006-07-25,TB,LAA,3.142
41382,2006-07-21,PHI,ATL,3.134
41375,2006-07-21,CIN,MIL,3.117
41437,2006-07-25,NYM,CHC,3.114
41402,2006-07-22,WSH,CHC,3.082
41367,2006-07-20,DET,CWS,3.074
41369,2006-07-20,KC,LAA,3.008
41370,2006-07-20,MIN,TB,2.999
41415,2006-07-23,TB,BAL,2.904
41380,2006-07-21,LAD,STL,2.842
41425,2006-07-24,PHI,ATL,2.84
41412,2006-07-23,PHI,ATL,2.828
41443,2006-07-25,WSH,SF,2.774
41429,2006-07-25,ATL,MIA,2.768
41376,2006-07-21,CLE,MIN,2.738
41418,2006-07-24,CWS,MIN,2.676
41442,2006-07-25,TEX,NYY,2.674
41355,2006-07-19,MIA,WSH,2.624
41428,2006-07-24,TEX,NYY,2.586
41399,2006-07-22,SEA,BOS,2.578
41396,2006-07-22,NYM,HOU,2.554
41438,2006-07-25,OAK,BOS,2.54
41433,2006-07-25,HOU,CIN,2.49
41431,2006-07-25,CLE,DET,2.456
41419,2006-07-24,CLE,DET,2.436
41351,2006-07-19,BOS,KC,2.408
41436,2006-07-25,MIL,PIT,2.386
41352,2006-07-19,CHC,HOU,2.336
41406,2006-07-23,CLE,MIN,2.304
41354,2006-07-19,DET,CWS,2.294
41374,2006-07-21,CWS,TEX,2.136
41377,2006-07-21,DET,OAK,2.106
41409,2006-07-23,KC,LAA,2.065
41364,2006-07-20,AZ,LAD,2.052
41373,2006-07-21,AZ,COL,2.006
41386,2006-07-21,TOR,NYY,1.998
41416,2006-07-23,TOR,NYY,1.994
41405,2006-07-23,CIN,MIL,1.942
41378,2006-07-21,MIA,PIT,1.792
41395,2006-07-22,LAD,STL,1.69
41365,2006-07-20,CHC,HOU,1.682
41440,2006-07-25,SEA,TOR,1.634
41424,2006-07-24,OAK,BOS,1.616
41426,2006-07-24,SEA,TOR,1.59
41393,2006-07-22,MIA,PIT,1.584
41379,2006-07-21,KC,LAA,1.57
41350,2006-07-19,BAL,OAK,1.558
41357,2006-07-19,MIN,TB,1.55
41385,2006-07-21,TB,BAL,1.542
41371,2006-07-20,SF,SD,1.524
41410,2006-07-23,LAD,STL,1.49
41422,2006-07-24,MIL,PIT,1.477
41427,2006-07-24,TB,LAA,1.382
41349,2006-07-19,AZ,LAD,1.355
41384,2006-07-21,SEA,BOS,1.332
41362,2006-07-19,STL,ATL,1.324
41417,2006-07-23,WSH,CHC,1.242
41404,2006-07-23,CWS,TEX,1.216
41391,2006-07-22,CLE,MIN,1.158
41407,2006-07-23,DET,OAK,1.036
41383,2006-07-21,SF,SD,0.924
41420,2006-07-24,COL,STL,0.826
41381,2006-07-21,NYM,HOU,0.774
41473,2006-07-28,HOU,AZ,6.064
41484,2006-07-29,BOS,LAA,5.632
41508,2006-07-30,OAK,TOR,4.798
41457,2006-07-26,TEX,NYY,4.726
41498,2006-07-30,BAL,CWS,4.696
41528,2006-08-01,KC,CWS,4.632
41510,2006-07-30,PIT,SF,4.274
41460,2006-07-27,CHC,STL,4.226
41513,2006-07-31,BOS,CLE,4.192
41458,2006-07-26,WSH,SF,4.156
41475,2006-07-28,MIL,CIN,4.134
41444,2006-07-26,ATL,MIA,4.013
41527,2006-08-01,MIA,NYM,3.9739999999999998
41483,2006-07-29,BAL,CWS,3.95
41501,2006-07-30,CLE,SEA,3.948
41461,2006-07-27,COL,SD,3.93
41504,2006-07-30,LAD,WSH,3.919
41478,2006-07-28,OAK,TOR,3.892
41463,2006-07-27,KC,BAL,3.692
41496,2006-07-29,TEX,KC,3.602
41526,2006-08-01,COL,MIL,3.567
41452,2006-07-26,NYM,CHC,3.552
41503,2006-07-30,HOU,AZ,3.515
41476,2006-07-28,MIN,DET,3.488
41487,2006-07-29,COL,SD,3.43
41469,2006-07-28,BOS,LAA,3.252
41506,2006-07-30,MIN,DET,3.23
41520,2006-07-31,SF,WSH,3.2039999999999997
41470,2006-07-28,CHC,STL,3.18
41468,2006-07-28,BAL,CWS,3.122
41449,2006-07-26,KC,BAL,3.087
41525,2006-08-01,CIN,LAD,2.984
41490,2006-07-29,MIL,CIN,2.87
41451,2006-07-26,MIL,PIT,2.856
41505,2006-07-30,MIL,CIN,2.85
41471,2006-07-28,CLE,SEA,2.838
41448,2006-07-26,HOU,CIN,2.836
41529,2006-08-01,LAA,OAK,2.803
41480,2006-07-28,PIT,SF,2.79
41512,2006-07-31,BAL,SEA,2.784
41535,2006-08-01,STL,PHI,2.766
41464,2006-07-27,OAK,TOR,2.764
41495,2006-07-29,PIT,SF,2.762
41489,2006-07-29,LAD,WSH,2.7439999999999998
41445,2006-07-26,CWS,MIN,2.73
41486,2006-07-29,CLE,SEA,2.72
41466,2006-07-27,WSH,SF,2.708
41493,2006-07-29,OAK,TOR,2.662
41467,2006-07-28,ATL,NYM,2.658
41533,2006-08-01,SD,HOU,2.5020000000000002
